UID,Name,Position,Age,Club,Wage,Division,Minutes Played,Season,Total Number Of Seasons Stored,Average Rating,SABR Rating,Adjusted Rating,Adjusted SABR Rating,Rating Difference,Aerial Challenges Attempted per 90,Assists per 90,Blocks per 90,Chances Created per 90,Clearances per 90,Cross Completion %,Dribbles per 90,Expected Assists per 90,Expected Goals per 90,Goals per 90,Headers Won %,Interceptions per 90,Key Headers per 90,Key Passes per 90,Key Tackles per 90,Non-Penalty xG per 90,Open-Play Cross Completion %,Open-Play Key Passes per 90,Possession Lost per 90,Possession Won per 90,Pressures Attempted per 90,Pressures Completed per 90,Progressive Passes per 90,Shots Blocked per 90,Shots Outside Box per 90,Shots on Target per 90,Shots per 90,Tackles Won per 90
r-2002201016,Bruno Tucci,Central Attacking Midfielder,30,Houston,"£800,000 p/a",Major League Soccer,3007,2045,2,6.82,10.0,6.87,7.94,1.07,6.79,0.15,0.21,1.73,0.48,27.0,1.41,0.18,0.23,0.21,37.0,1.38,0.03,2.36,0.03,0.23,108.0,1.02,12.57,7.03,9.07,2.01,2.51,0.06,0.87,0.96,1.8,1.5
r-2002201016,Bruno Tucci,Central Attacking Midfielder,31,Houston,"£800,000 p/a",Major League Soccer,2065,2046,2,6.92,5.88,6.87,7.94,1.07,3.7,0.22,0.52,0.9,1.18,17.0,2.27,0.26,0.11,0.17,47.0,3.36,0.04,2.44,0.13,0.11,28.0,1.0,11.81,9.81,8.59,2.14,3.66,0.04,0.87,0.57,1.22,1.7
r-2002338192,Elias,Central Attacking Midfielder,28,Chicago,"£142,000 p/a",Major League Soccer,2871,2045,2,6.7,8.92,6.72,7.47,0.75,3.76,0.09,0.25,0.82,0.85,40.0,1.44,0.09,0.1,0.09,38.0,1.35,0.09,0.56,0.03,0.1,139.0,0.47,9.91,5.39,9.75,2.26,1.54,0.03,0.13,0.22,0.69,1.44
r-2002338192,Elias,Central Attacking Midfielder,29,Chicago,"£197,000 p/a",Major League Soccer,3116,2046,2,6.73,6.02,6.72,7.47,0.75,2.2,0.06,0.17,0.53,0.55,11.0,0.61,0.07,0.07,0.12,36.0,1.59,0.03,0.72,0.03,0.07,13.0,0.61,8.75,6.18,10.08,2.31,4.59,0.12,0.35,0.35,0.64,1.36
r-2002125097,Alf Einar Akersvatne,Central Attacking Midfielder,34,NYCFC,"£3,708,000 p/a",Major League Soccer,3191,2045,2,6.95,8.64,6.94,7.34,0.4,5.19,0.08,0.37,3.15,0.48,31.0,1.04,0.14,0.24,0.37,16.0,1.49,0.0,1.66,0.06,0.24,115.0,0.54,10.41,5.22,9.73,2.37,1.81,0.17,0.93,0.76,1.66,1.58
r-2002125097,Alf Einar Akersvatne,Central Attacking Midfielder,35,NYCFC,"£2,574,000 p/a",Major League Soccer,2775,2046,2,6.93,6.04,6.94,7.34,0.4,4.67,0.16,0.13,1.84,0.16,25.0,1.14,0.18,0.25,0.19,15.0,1.1,0.0,1.75,0.0,0.25,23.0,0.68,12.94,5.25,10.64,2.76,1.95,0.03,1.91,1.1,2.46,1.88
r-2002340801,Brian Martínez,Central Attacking Midfielder,26,San Jose,"£239,000 p/a",Major League Soccer,3244,2045,2,7.25,8.55,7.18,8.41,1.23,1.8,0.33,0.31,2.64,0.61,28.0,1.0,0.29,0.11,0.14,23.0,1.94,0.0,2.58,0.03,0.11,69.0,1.69,12.01,6.8,12.87,3.63,8.43,0.08,0.97,0.55,1.28,1.64
r-2002340801,Brian Martínez,Central Attacking Midfielder,27,San Jose,"£239,000 p/a",Major League Soccer,2916,2046,2,7.12,8.28,7.18,8.41,1.23,2.44,0.31,0.46,2.3,0.4,32.0,1.08,0.21,0.07,0.03,42.0,2.31,0.0,2.69,0.09,0.07,52.0,1.39,12.25,8.58,10.43,2.69,6.85,0.09,0.96,0.28,1.11,1.36
r-2002260990,Ashley Hunt,Central Attacking Midfielder,25,Columbus,"£136,000 p/a",Major League Soccer,2240,2045,2,6.88,8.2,6.98,6.72,-0.26,5.63,0.16,0.2,0.52,0.52,26.0,0.6,0.1,0.15,0.12,61.0,1.61,0.44,1.0,0.2,0.15,123.0,1.0,8.92,8.76,11.29,3.58,4.66,0.04,0.92,0.84,1.77,2.13
r-2002260990,Ashley Hunt,Central Attacking Midfielder,26,San Jose,"£224,000 p/a",Major League Soccer,1993,2046,2,7.07,5.25,6.98,6.72,-0.26,7.18,0.32,0.45,1.01,0.59,16.0,1.94,0.17,0.25,0.32,36.0,1.99,0.05,0.86,0.0,0.25,37.0,0.86,10.12,6.14,10.93,2.35,1.9,0.23,0.63,0.95,1.58,1.13
r-2002355588,Leandro Guerra,Central Attacking Midfielder,19,San Jose,"£539,000 p/a",Major League Soccer,2896,2045,1,7.18,8.12,7.18,8.12,0.94,4.54,0.31,0.28,2.8,0.4,9.0,2.36,0.24,0.32,0.31,28.0,1.52,0.06,1.96,0.03,0.29,55.0,1.37,12.06,5.87,12.03,3.36,3.2,0.06,1.21,0.99,2.21,1.58
r-2002107691,José Gamarra,Central Attacking Midfielder,32,Cincinnati,"£3,108,000 p/a",Major League Soccer,2959,2045,2,6.79,7.69,6.88,6.52,-0.36,3.41,0.12,0.33,0.82,0.7,20.0,1.61,0.18,0.22,0.06,28.0,1.67,0.03,2.04,0.0,0.22,50.0,1.0,12.44,6.97,11.38,2.59,3.04,0.15,1.28,0.49,1.98,1.67
r-2002107691,José Gamarra,Central Attacking Midfielder,33,Cincinnati,"£3,108,000 p/a",Major League Soccer,2496,2046,2,6.98,5.36,6.88,6.52,-0.36,3.71,0.32,0.25,0.64,0.72,21.0,1.88,0.17,0.27,0.22,24.0,1.01,0.04,1.26,0.07,0.27,21.0,0.97,10.38,5.52,10.96,2.56,2.88,0.11,0.83,0.97,1.62,1.01
r-2002338081,Kieran Slater,Central Attacking Midfielder,31,Philadelphia,"£223,000 p/a",Major League Soccer,2894,2045,1,6.98,7.61,6.98,7.61,0.63,8.3,0.16,0.12,1.22,0.37,22.0,0.87,0.13,0.38,0.53,36.0,1.18,0.12,1.77,0.0,0.23,36.0,0.9,11.13,3.86,6.87,1.74,1.62,0.09,1.31,1.09,2.3,0.93
r-2002247455,Raúl Ávila,Central Attacking Midfielder,26,St. Louis CITY,"£146,000 p/a",Major League Soccer,2902,2045,2,6.93,7.38,6.81,5.28,-1.53,4.87,0.12,0.16,0.46,0.53,16.0,2.57,0.18,0.2,0.19,18.0,2.33,0.03,2.05,0.0,0.2,43.0,1.15,14.24,5.33,10.48,2.57,3.01,0.09,0.96,0.65,1.58,1.12
